scan_match,scan_type,scan_acq,scan_filename
t1_mpr_1mm_iso_qk,anat,None,T1w
gre_field_mapping_+30DEG,fmap,None,fmap
LT_HAND_+_30DEG,func,None,tactileTaskLeft
LT_HAND_+_30DEG_REPEAT_XXXX,func,None,tactileTaskLeftRepeat
RT_HAND_+_30DEG,func,None,tactileTaskRight
RT_HAND_+_30DEG_REPEAT_XXXX,func,None,tactileTaskRightRepeat
RESTING+_30DEG_7mins,func,None,resting
diff60_b3000_2.5_(*),dwi,,dwi
SPACE_3D_T2_FLAIR,anat,,FLAIR
